ProductID,ProductBrand,ProductName,DispensaryName,Delivery,ProductType,ProductTypeSub,Quantity1,Price1,QuantityAvailable
5ff7c0f650b07d0003102256,Decibel,Decibel | Rosin Infused Pre-Roll | Triple Choc. Chip,Oregrown (Bend),0,Concentrate,infused-flower,1.38g,16.67,14
60e64c5c03cf350001756b55,Decibel,Decibel | Rosin Infused Pre-Roll | Lemon Meringue,Oregrown (Bend),0,Concentrate,infused-flower,1.38g,16.67,18
60ef1a41a0edd700014fa03e,Hash Hamilton,$35 - Hash Hamilton - Purple Punch (Rosin),Tokyo Starfish (South) (Bend),0,Concentrate,rosin,1g,29.17,1
6074b1155085210001d4e80b,45TH LATITUDE,Further Hash Rosin Dab | 45th Latitude,Substance (Division Street) (Bend),0,Concentrate,rosin,1g,30,9
6074b1155085210001d4e80c,45TH LATITUDE,Icculus Hash Rosin Dab | 45th Latitude,Substance (Division Street) (Bend),0,Concentrate,rosin,1g,30,4
60ec965c5baa5a00013b406c,KOROVA,Triangle Larry x Motor Breath Hash Rosin {KOROVA},DiamondTREE West (Bend),0,Concentrate,rosin,1g,30,17
60e8aa50c2b80b00012c885d,Willamette Valley Alchemy,$45 - WVA - Larry Burger (Rosin),Tokyo Starfish (South) (Bend),0,Concentrate,rosin,1g,37.5,7
60e5f7faa560100001b734da,Hash Hamilton,Hash Hamilton | Hash Rosin | Duct Tape,Oregrown (Bend),0,Concentrate,hash,1g,40,2
60e5f7faa560100001b734dd,Hash Hamilton,Hash Hamilton | Hash Rosin | Sherbadough,Oregrown (Bend),0,Concentrate,hash,1g,40,5
60e5f7faa560100001b734de,Hash Hamilton,Hash Hamilton | Hash Rosin | Mac,Oregrown (Bend),0,Concentrate,hash,1g,40,1
60e8aa645baa5a00013b38c8,Hash Hamilton,Hash Hamilton | Duct Tape Hash Rosin Badder,CannaVida (Bend),0,Concentrate,badder,1g,40,10
608b28215be7720001c923e6,Happy Cabbage Farms,Happy Cabbage | Hash Rosin Cartridge | Citrus Funk,Oregrown (Bend),0,Concentrate,hash,.5g,45,5
60cbbcd46dfcdb00019a7e3f,Happy Cabbage Farms,Happy Cabbage | Hash Rosin Cartridge | Banana Bliss,Oregrown (Bend),0,Concentrate,hash,.5g,45,4
60db671dad4eb00001e99a7a,Decibel,Decibel | Full Spec Live Rosin | Key Lime Pie,Oregrown (Bend),0,Concentrate,rosin,1g,45,9
60db671dad4eb00001e99a7b,Decibel,Decibel | Full Spec Live Rosin | Choco Bonkers,Oregrown (Bend),0,Concentrate,rosin,1g,45,2
60db671dad4eb00001e99a7c,Decibel,Decibel | Full Spec Live Rosin | Moose Tracks,Oregrown (Bend),0,Concentrate,rosin,1g,45,2
60db671dad4eb00001e99a7d,Decibel Farms,Triple Chocolate Chip Live Rosin | 1g,Oregrown (Bend),0,Concentrate,rosin,1g,45,2
60ec7a1dca349d00013b5fa0,Decibel Farms,Rotten Banana Live Rosin | 1g,Oregrown (Bend),0,Concentrate,rosin,1g,45,8
60e36329b4f3bf000164ba21,Highland Provisions,Paradise Circus Premium Live Rosin Jam | 1g,DiamondTREE West (Bend),0,Concentrate,rosin,1g,45.83,1
5f691eaa17e5910003b8fce6,Highland Provision,Highland | Sundae Driver Hash Rosin Jam,CannaVida (Bend),0,Concentrate,hash,1g,50,1
5faef0ebd34b71000328fdbe,Bos Nose Knows,BNK | Baewatch Hash Rosin Badder,CannaVida (Bend),0,Concentrate,badder,1g,50,5
602582bd90f86e00038f505f,Hash Hamilton,Hash Hamilton | Triple Berry Diesel Hash Rosin Badder,CannaVida (Bend),0,Concentrate,badder,N/A,50,1
6034235b9ffa0e0003fe647f,Highland Provisions,Highland Provisions | Live Jam Rosin | Sundae Driver,Oregrown (Bend),0,Concentrate,rosin,1g,50,3
6035970eb0a2450003a23e4c,Decibel Farms,Mr. Clean Live Rosin | 1g,Oregrown (Bend),0,Concentrate,rosin,1g,50,1
6035970eb0a2450003a23e4d,Decibel Farms,Crescendo Live Rosin | 1g,Oregrown (Bend),0,Concentrate,rosin,1g,50,2
604159b78c6772000326221a,Hash Hamilton,Hash Hamilton | Watermelon Zkittles Hash Rosin,CannaVida (Bend),0,Concentrate,hash,N/A,50,2
604159b78c6772000326221b,Hash Hamilton,Hash Hamilton | Purple Punch Hash Rosin,CannaVida (Bend),0,Concentrate,hash,N/A,50,7
6042ba552b56b300032ae18a,Bos Nose Knows,BNK | Scoops Hash Rosin Badder,CannaVida (Bend),0,Concentrate,badder,1g,50,11
6042ba552b56b300032ae18b,Bos Nose Knows,BNK | Triple Berry OG Hash Rosin Badder,CannaVida (Bend),0,Concentrate,badder,1g,50,1
6053d14ccd74c30001c06d60,Tao Gardens,Tao Gardens | BlueberryMuffin Live Rosin Badder,CannaVida (Bend),0,Concentrate,badder,1g,50,2
60551cabf9a44e0001fff07c,Bos Nose Knows,BNK | Cantaloupe Haze Hash Rosin Badder,CannaVida (Bend),0,Concentrate,badder,1g,50,7
605cf2a66211bf0001e48054,Tao Gardens,Tao Gardens | Chem Head OG Hash Rosin Badder,CannaVida (Bend),0,Concentrate,badder,1g,50,3
6064da2fcf04d600012092a2,Highland Provisions,Highland Provisions | Live Rosin Jam | Garlic Drip,Oregrown (Bend),0,Concentrate,rosin,1g,50,2
607dc925594fcc00018a26f3,Bos Nose Knows,BNK | Dosi Pie 90u Rosin Badder,CannaVida (Bend),0,Concentrate,badder,1g,50,10
60afe0adbb17160001ecf413,Highland Provisions,Highland Provisions | Live Rosin Jam | Member OG,Oregrown (Bend),0,Concentrate,rosin,1g,50,3
60afe9202da0070001322aa6,Tao Gardens,Tao Gardens | Deadhead OG Live Rosin Badder,CannaVida (Bend),0,Concentrate,badder,1g,50,6
60da29b790fac200019ccadf,Highland Provisions,Highland Provisions | Live Rosin Badder | Star Pebbles,Oregrown (Bend),0,Concentrate,badder,1g,50,3
60db671dad4eb00001e99a79,Decibel Farms,Wonka Bars Live Rosin | 1g,Oregrown (Bend),0,Concentrate,rosin,1g,50,1
60e3530fce13d50001a61f9e,Decibel Farms,Donkey Butter Live Rosin | 1g,Oregrown (Bend),0,Concentrate,rosin,1g,50,1
60f1cd52a744a10001838444,Highland Provisions,Highland Provisions | Fresh Pressed Rosin | Sour Garlic Cookies,Oregrown (Bend),0,Concentrate,rosin,1g,50,3
60f1cd52a744a10001838445,Highland Provisions,Highland Provisions | Fresh Pressed Rosin | Triple Stuffed,Oregrown (Bend),0,Concentrate,rosin,1g,50,3
60f1cd52a744a10001838446,Highland Provisions,Fresh Pressed Rosin | Tropsanto | 1g,Oregrown (Bend),0,Concentrate,rosin,1g,50,2
60f1cd52a744a10001838447,Highland Provisions,Sundae Driver Premium Live Rosin | 1g,Oregrown (Bend),0,Concentrate,rosin,1g,50,3
60f1d0d6198c4f000146f529,Highland Provisions,Garlic Drip Premium Live Rosin Jam | 1g,Oregrown (Bend),0,Concentrate,rosin,1g,50,2
60f1dc9fe8df4c0001cd8825,Highland Provisions,Highland Provisions | Fresh Pressed Rosin | Chem Z,Oregrown (Bend),0,Concentrate,rosin,1g,50,3
5f64fe5625cbad000395b4db,Bos Nose Knows,BNK | 24K 90u Hash Rosin Badder,CannaVida (Bend),0,Concentrate,badder,1g,53.33,3
5f8749353713600003928ea1,Hash Hamilton,Hash Hamilton | Han Solo Burger Hash Rosin Badder,CannaVida (Bend),0,Concentrate,badder,1g,53.33,2
